Subj,group,Conditions,Mask,CorrVal
S195,Replication,baseline_reverse,HPC,0.99804797720357
S195,Replication,baseline_novel,HPC,0.996062589397018
S195,Replication,reverse_novel,HPC,0.993780242647116
S196,,target_baseline,HPC,0.723402600112228
S196,,target_reverse,HPC,0.832955347090428
S196,,target_novel,HPC,0.700572840335217
S196,,baseline_reverse,HPC,0.871476402357333
S196,,baseline_novel,HPC,0.87374618922083
S196,,reverse_novel,HPC,0.84930568613568
S199,Extension,target_baseline,HPC,0.839673309327158
S199,Extension,target_reverse,HPC,0.7581177335515
S199,Extension,target_novel,HPC,0.763137962173575
S199,Extension,baseline_reverse,HPC,0.892242228146181
S199,Extension,baseline_novel,HPC,0.913385472468124
S199,Extension,reverse_novel,HPC,0.846129601808504
S206,Extension,target_baseline,HPC,0.926727699867796
S206,Extension,target_reverse,HPC,0.928816964049369
S206,Extension,target_novel,HPC,0.842772355556464
S206,Extension,baseline_reverse,HPC,0.988515868359045
S206,Extension,baseline_novel,HPC,0.92568162394896
S206,Extension,reverse_novel,HPC,0.923568026935085
S208,Extension,target_baseline,HPC,0.708384168847968
S208,Extension,target_reverse,HPC,0.489425827577632
S208,Extension,target_novel,HPC,0.489371857061217
S208,Extension,baseline_reverse,HPC,0.718869432571406
S208,Extension,baseline_novel,HPC,0.632368199689047
S208,Extension,reverse_novel,HPC,0.483312613549904
S209,Extension,target_baseline,HPC,0.939690132369013
S209,Extension,target_reverse,HPC,0.909775831913972
S209,Extension,target_novel,HPC,0.874373244834191
S209,Extension,baseline_reverse,HPC,0.896205074039164
S209,Extension,baseline_novel,HPC,0.842326171524643
S209,Extension,reverse_novel,HPC,0.920384062572973
S210,Extension,target_baseline,HPC,0.739527525618921
S210,Extension,target_reverse,HPC,0.732132107911864
S210,Extension,target_novel,HPC,0.575644144207416
S210,Extension,baseline_reverse,HPC,0.893274650111814
S210,Extension,baseline_novel,HPC,0.799370374172463
S210,Extension,reverse_novel,HPC,0.769436399108959
S216,Extension,target_baseline,HPC,0.863872599126898
S216,Extension,target_reverse,HPC,0.907421498730139
S216,Extension,target_novel,HPC,0.71601192382514
S216,Extension,baseline_reverse,HPC,0.863468862638735
S216,Extension,baseline_novel,HPC,0.917857979016512
S216,Extension,reverse_novel,HPC,0.732033631222879
S218,Extension,target_baseline,HPC,0.89041684803015
S218,Extension,target_reverse,HPC,0.734921124328722
S218,Extension,target_novel,HPC,0.649520542161895
S218,Extension,baseline_reverse,HPC,0.813314808478361
S218,Extension,baseline_novel,HPC,0.742192958850258
S218,Extension,reverse_novel,HPC,0.864956299903601
S219,Extension,target_baseline,HPC,0.695569296510079
S219,Extension,target_reverse,HPC,0.863151132204904
S219,Extension,target_novel,HPC,0.806465917205612
S219,Extension,baseline_reverse,HPC,0.670228105184049
